2020-6-5,Mumbai,46080,18778,1519,25783
2020-6-5,Bengaluru,434,271,13,150
2020-6-6,Delhi,27654,10664,761,16229
2020-6-6,Mumbai,47354,19977,1577,25800
2020-6-6,Bengaluru,452,276,13,163
2020-6-7,Delhi,28936,10999,812,17125
2020-6-7,Mumbai,48774,21190,1638,25946
2020-6-7,Bengaluru,475,298,15,162
2020-6-8,Delhi,29943,11357,874,17712
2020-6-8,Mumbai,50085,22032,1702,26351
2020-6-8,Bengaluru,493,298,18,177
2020-6-9,Delhi,31309,11861,905,18543
2020-6-9,Mumbai,51100,22943,1760,26397
2020-6-9,Bengaluru,522,298,19,205
2020-6-10,Delhi,32810,12245,984,19581
2020-6-10,Mumbai,52667,23694,1857,27116
2020-6-10,Bengaluru,564,298,21,245
2020-6-11,Delhi,34687,12731,1085,20871
2020-6-11,Mumbai,54085,24209,1954,27922
2020-6-11,Bengaluru,581,299,23,259
2020-6-12,Delhi,36824,13398,1214,22212
2020-6-12,Mumbai,55451,25152,2044,28255
2020-6-12,Bengaluru,617,299,27,291
2020-6-13,Delhi,38958,14945,1271,22742
2020-6-13,Mumbai,56831,25947,2113,28771
2020-6-13,Bengaluru,648,299,29,320
2020-6-14,Delhi,41182,15823,1327,24032
2020-6-14,Mumbai,58226,26986,2182,29058
2020-6-14,Bengaluru,690,327,32,331
2020-6-15,Delhi,42829,16427,1400,25002
2020-6-15,Mumbai,59293,30125,2250,26918
2020-6-15,Bengaluru,725,329,33,363
2020-6-16,Delhi,44688,16500,1837,26351
2020-6-16,Mumbai,60228,31041,3167,26020
2020-6-16,Bengaluru,772,361,38,373
2020-6-17,Delhi,47102,17457,1904,27741
2020-6-17,Mumbai,61587,31338,3244,27005
2020-6-17,Bengaluru,827,370,43,414
2020-6-18,Delhi,49979,21341,1969,26669
2020-6-18,Mumbai,62875,31856,3311,27708
2020-6-18,Bengaluru,844,384,51,409
2020-6-19,Delhi,53116,23569,2035,27512
2020-6-19,Mumbai,64139,32264,3425,28450
2020-6-19,Bengaluru,982,392,58,532
2020-6-20,Delhi,56746,31294,2112,23340
2020-6-20,Mumbai,65329,32867,3561,28901
2020-6-20,Bengaluru,1076,394,61,621
2020-6-21,Delhi,59746,33013,2175,24558
2020-6-21,Mumbai,66488,33491,3671,29326
2020-6-21,Bengaluru,1272,411,64,797
2020-6-22,Delhi,62655,36602,2233,23820
2020-6-22,Mumbai,67586,34121,3737,29728
2020-6-22,Bengaluru,1398,411,67,920
2020-6-23,Delhi,66602,39313,2301,24988
2020-6-23,Mumbai,68410,34576,3844,29990
2020-6-23,Bengaluru,1505,435,73,997
2020-6-24,Delhi,70390,41437,2365,26588
2020-6-24,Mumbai,69528,37008,3964,28556
2020-6-24,Bengaluru,1678,476,78,1124
2020-6-25,Delhi,73780,44765,2429,26586
2020-6-25,Mumbai,70878,39149,4062,27667
2020-6-25,Bengaluru,1791,506,78,1207
2020-6-26,Delhi,77240,47091,2492,27657
2020-6-26,Mumbai,72175,39744,4179,28252
2020-6-26,Bengaluru,1935,527,81,1327
2020-6-27,Delhi,80188,49301,2558,28329
2020-6-27,Mumbai,74252,42329,4284,27639
2020-6-27,Bengaluru,2531,534,84,1913
2020-6-28,Delhi,83077,52607,2623,27847
2020-6-28,Mumbai,75539,43154,4371,28014
2020-6-28,Bengaluru,3314,534,88,2692
2020-6-29,Delhi,85161,56235,2680,26246
2020-6-29,Mumbai,76765,43545,4463,28757
2020-6-29,Bengaluru,4052,534,91,3427
2020-6-30,Delhi,87360,58348,2742,26270
2020-6-30,Mumbai,77658,44170,4556,28932
2020-6-30,Bengaluru,4555,544,95,3916
2020-7-1,Delhi,89802,59992,2803,27007
2020-7-1,Mumbai,79145,44791,4631,29723
2020-7-1,Bengaluru,5290,544,97,4649
2020-7-2,Delhi,92175,63007,2864,26304
2020-7-2,Mumbai,80699,50691,4689,25319
2020-7-2,Bengaluru,6179,574,100,5505
2020-7-3,Delhi,94695,65624,2923,26148
2020-7-3,Mumbai,82074,52392,4762,24920
2020-7-3,Bengaluru,7173,771,105,6297
2020-7-4,Delhi,97200,68256,3004,25940
2020-7-4,Mumbai,83237,53463,4830,24944
2020-7-4,Bengaluru,8345,966,129,7250
2020-7-5,Delhi,99444,71339,3067,25038
2020-7-5,Mumbai,84524,55884,4899,23741
2020-7-5,Bengaluru,9580,1268,145,8167
2020-7-6,Delhi,100823,72088,3115,25620
2020-7-6,Mumbai,85724,57152,4938,23634
2020-7-6,Bengaluru,10561,1546,155,8860
2020-7-7,Delhi,102831,74217,3165,25449
2020-7-7,Mumbai,86509,58137,5002,23370
2020-7-7,Bengaluru,11361,1811,155,9395
2020-7-8,Delhi,104864,78199,3213,23452
